0|2.69239708216022|2.69239708216022|13.5187624507497|0|1.05938749349357|9.81022873691392|0.11|0.1
0.1|2.5847439025679|2.4847439025679|13.5672611969267|0|0.922317822116445|9.98712004092752|0.09|0.19
1|2.69317341149757|1.69317341149757|11.1506332193871|0|1.44712235353018|9.55277650527248|0.09|0.18
2.5|4.74633187922372|2.24633187922372|20.2451921197483|0|3.35629318045919|14.978595185217|0.08|0.32
5|6.74128522363605|1.74128522363605|20.1783006681043|1.41375015405642|5.88898771739862|16.7617921039595|0.07|0.38
10|12.4345205522558|2.43452055225575|39.9424058640157|4.26063515957476|10.9349123003141|26.4900068402554|0.04|0.79
25|28.37512614117|3.37512614116997|69.7848747155838|16.8894832569707|27.3606116189615|44.6957955973178|0.02|1
50|29.2580467055213|-20.7419532944787|578.732865056922|0|50|50|0.57|0.58
100|78|-22|1733.33333333333|0|100|100|0.78|0.78
1000|1000|0|0|1000|1000|1000|1|1
