rhohat,rhoerror,minx,rhohatN,rhoerrorN,I,Iinf
NaN,0,0,Inf,40.1372720865978,Inf,1
NaN,0,0,NaN,1.30401039157646,Inf,1
NaN,0,0,NaN,15.6219426595956,Inf,1
NaN,0,0,NaN,10.3852782372885,Inf,1
NaN,-0,0,Inf,-0.494384473309231,Inf,1
NaN,0,0,Inf,10.8278853449774,Inf,1
NaN,-0,0,NaN,-8.40716001834879,Inf,1
NaN,-0,0,NaN,-4.60221090412116,Inf,1
NaN,0,0,Inf,9.75879007741248,Inf,1
NaN,0,0,Inf,2.79656616611648,Inf,1
NaN,0,0,Inf,18.0038321899008,Inf,1
NaN,0,0,NaN,25.5272139489348,Inf,1
NaN,-0,0,Inf,-6.29286476696428,Inf,1
NaN,-0,0,NaN,-15.0275087041827,Inf,1
NaN,0,0,Inf,2.90833561825544,Inf,1
NaN,0,0,Inf,11.1858904744414,Inf,1
NaN,0,0,Inf,2.18934905894275,Inf,1
NaN,0,0,Inf,8.70969693763648,Inf,1
NaN,-0,0,Inf,-8.94403445022092,Inf,1
NaN,-0,0,Inf,-21.7932119674558,Inf,1
NaN,0,0,NaN,5.57058214167388,Inf,1
NaN,-0,0,Inf,-5.77256248472783,Inf,1
NaN,-0,0,Inf,-7.44596147766891,Inf,1
NaN,-0,0,NaN,-42.7491181792955,Inf,1
NaN,0,0,NaN,33.3085463150516,Inf,1
NaN,-0,0,NaN,-0.42416181870162,Inf,1
NaN,0,0,Inf,30.1605601045432,Inf,1
NaN,0,0,Inf,16.7823763452446,Inf,1
2.56489207078525,2.46489207078532,0.000325140450668591,1.28602207347802,1.23588265092199,0.501394225560649,0
NaN,-0,0,Inf,-15.1171096514963,Inf,1
NaN,-0,0,NaN,-6.13362535664458,Inf,1
NaN,0,0,NaN,4.24248644226389,Inf,1
NaN,0,0,Inf,12.9170284148107,Inf,1
NaN,-0,0,NaN,-1.70249062602614,Inf,1
NaN,-0,0,Inf,-0.244178724582925,Inf,1
NaN,-0,0,Inf,-13.8614069746261,Inf,1
NaN,0,0,NaN,3.35117484370953,Inf,1
NaN,-0,0,NaN,-3.09323355211706,Inf,1
NaN,-0,0,Inf,-7.16902571139702,Inf,1
2.9205945638999,2.82059456389935,0.0169493968398244,0.350221488429973,0.33823004351116,0.119914449187469,0
NaN,0,0,Inf,14.3845506700098,Inf,1
5.84331725579083,5.74331725579163,0.00282093461848153,0.727196035903192,0.714751117989885,0.124449179134083,0
NaN,-0,0,NaN,-7.1132058942557,Inf,1
NaN,0,0,Inf,4.79801822497059,Inf,1
NaN,0,0,Inf,11.4078718569307,Inf,1
NaN,-0,0,NaN,-5.6980769327467,Inf,1
NaN,-0,0,Inf,-31.7813281632433,Inf,1
NaN,-0,0,Inf,-9.49735837344408,Inf,1
NaN,-0,0,NaN,-15.2057657209505,Inf,1
NaN,-0,0,Inf,-6.79580567081052,Inf,1
NaN,-0,0,Inf,-1.56998982792582,Inf,1
NaN,-0,0,Inf,-44.9695698863948,Inf,1
NaN,-0,0,NaN,-24.6975721526345,Inf,1
NaN,0,0,NaN,17.4605735590701,Inf,1
NaN,-0,0,NaN,-2.59047983177805,Inf,1
NaN,-0,0,NaN,-7.77819332887439,Inf,1
NaN,-0,0,Inf,-24.0527517644034,Inf,1
NaN,0,0,NaN,5.21337884878642,Inf,1
NaN,-0,0,Inf,-13.8658976048174,Inf,1
NaN,-0,0,Inf,-16.9092910154883,Inf,1
NaN,-0,0,Inf,-0.971704600028523,Inf,1
NaN,-0,0,NaN,-43.209761342762,Inf,1
NaN,-0,0,NaN,-10.2789398991963,Inf,1
NaN,-0,0,NaN,-4.30248208039056,Inf,1
NaN,-0,0,NaN,-0.525523992980592,Inf,1
NaN,0,0,Inf,20.8755708201281,Inf,1
NaN,-0,0,Inf,-15.4741322804454,Inf,1
NaN,0,0,NaN,28.4017790423293,Inf,1
NaN,-0,0,Inf,-5.55504904763211,Inf,1
NaN,0,0,Inf,7.28309876370684,Inf,1
NaN,-0,0,NaN,-7.55472705883098,Inf,1
NaN,-0,0,Inf,-11.5970282621996,Inf,1
NaN,-0,0,NaN,-17.80313349722,Inf,1
NaN,0,0,Inf,48.1696747051249,Inf,1
NaN,0,0,Inf,11.8775112238203,Inf,1
NaN,0,0,Inf,0.301165026819437,Inf,1
