0|0.207640799770966|0.207640799770966|1.06513719182669|0|0|0.60020437740323|0.95|0.03
0.1|0.336567168629479|0.236567168629479|1.61043667742733|0.1|0.1|1.06950250447274|0.95|0.98
1|1.21844069339487|0.218440693394872|1.38297318185018|1|1|1.96323598859443|0.95|0.98
2.5|3.06507541136642|0.565075411366423|2.77738179987434|2.5|2.5|6.68619083939066|0.77|0.92
5|5.78838349217174|0.788383492171737|6.54795458654389|4.094617018441|5|10.9998915845254|0.71|1
10|10.7271285015654|0.72712850156543|4.87993309588154|9.73770791353476|10|17.2868005881772|0.75|1
25|26.4937019277871|1.49370192778705|27.7206692271728|20.6426210434309|25|36.2972294381238|0.65|1
50|43.1604960381428|-6.83950396185722|290.979977833815|0|50|50|0.86|0.87
100|85.0028221502268|-14.9971778497732|1287.39497267687|0|100|100|0.85|0.85
1000|1000|0|0|1000|1000|1000|1|1
